variant,split,val_size,field_mode,direction,reference,baseline_objective,neural_objective,baseline_gap_pct,neural_gap_pct,winner,urs_objective,urs_gap_pct,neural_vs_urs,neural_beats_urs,urs_neural_ties,urs_beats_neural,neural_improvement_pct,baseline_seconds,neural_seconds,neural_net_evals_mean,neural_net_evals_total,neural_model_seconds,neural_decoder_seconds
op,seen,8,dynamic,maximize,,29.753751754760742,30.452500104904175,,,neural,,,,,,,2.3484377899725857,7.140792086254805,8.350949346553534,2.25,18,0.7101945206522942,7.537601243238896
tsp,seen,8,dynamic,minimize,7.689815044403076,7.699385046958923,7.691669225692749,0.1244503606470036,0.024112170175307288,neural,,,,,,,0.10021347444133717,11.666554303839803,12.013576993253082,5.5,44,0.674983146134764,11.286168731749058
aop,heldout,8,dynamic,maximize,31.93499755859375,35.84124994277954,36.42874574661255,-12.23188565152908,-14.071546990957968,neural,,,,,,,1.6391610358761015,7.319573970977217,7.880843135993928,5.75,46,0.6843292787671089,7.093074461445212
cvrp,seen,8,dynamic,minimize,15.032339096069336,15.379023432731628,15.402591943740845,2.306256760486089,2.4630421473682875,baseline,,,,,,,-0.15325102476308577,9.302579895593226,10.652700320351869,9.125,73,1.0775217209011316,9.463807787746191
atsp,seen,8,dynamic,minimize,,1.6837854385375977,1.6741198599338531,,,neural,,,,,,,0.5740386145718935,7.326501166447997,8.835079341661185,11.25,90,1.3862645621411502,7.403168421238661
cvrpl,seen,8,dynamic,minimize,15.267560005187988,15.34738576412201,15.252427458763123,0.522845555589078,-0.09911568331628376,neural,,,,,,,0.6187262561736948,11.118854007683694,14.294127352070063,8.625,69,0.961320383939892,13.178027495741844
cvrpb,seen,8,dynamic,minimize,11.423855781555176,11.389753818511963,11.452160835266113,-0.2985153497672259,0.24777145520900665,baseline,,,,,,,-0.5479224375571594,12.485521473921835,13.77262447681278,8.375,67,0.9799240133725107,12.684450841974467
ocvrp,seen,8,dynamic,minimize,10.285459518432617,10.340360283851624,10.387342810630798,0.5337706625612443,0.9905565426182045,baseline,,,,,,,-0.45436063627828005,9.16970939328894,10.190452800132334,7.875,63,0.8883950058370829,9.193512084428221
acvrp,seen,8,dynamic,minimize,2.092512845993042,2.2232876420021057,2.215896487236023,6.249653198520845,5.896434111706821,neural,,,,,,,0.332442578569227,9.966027539223433,13.278296455275267,10.625,85,1.2890502107329667,11.878219378180802
pctsp,seen,8,dynamic,minimize,,6.029324531555176,5.95932811498642,,,neural,,,,,,,1.1609329735432496,8.779768897686154,8.627400131896138,7.625,61,0.8947076890617609,7.622578482609242
pdtsp,seen,8,dynamic,minimize,,12.471340417861938,12.486072540283203,,,baseline,,,,,,,-0.11812781888436572,3.8510727058164775,3.992811901960522,1.5,12,0.18291214713826776,3.7174446946009994
cvrptw,seen,8,dynamic,minimize,25.1087589263916,26.030321836471558,25.92670464515686,3.670284591849377,3.257611103611828,neural,,,,,,,0.3980634275889641,16.666337378323078,18.843598602805287,9.375,75,1.123883122112602,17.556841420475394
cvrpbl,heldout,8,dynamic,minimize,11.315780639648438,11.404956221580505,11.32848346233368,0.7880638974178489,0.11225759043731653,neural,,,,,,,0.6705221638827873,13.454582029022276,16.418245987035334,9.375,75,1.0805680407211185,15.194188941270113
cvrpbp,seen,8,dynamic,minimize,14.735992431640625,14.692524194717407,14.702378749847412,-0.29498004375928044,-0.2281059925155684,baseline,,,,,,,-0.0670718999635748,9.178133866284043,10.490374909248203,8.5,68,0.9930541762150824,9.346065553370863
ocvrpl,seen,8,dynamic,minimize,10.195676803588867,10.254364848136902,10.223825573921204,0.5756169568593675,0.27608535337671836,neural,,,,,,,0.2978173165083635,10.088141474407166,12.567993345670402,9.5,76,1.1189698693342507,11.306030863430351
ocvrpb,heldout,8,dynamic,minimize,8.385598182678223,8.609028935432434,8.576670825481415,2.664458132703555,2.2785809508245083,neural,,,,,,,0.37586248337303246,10.881002913229167,12.224545942153782,8.75,70,1.069292672444135,11.051012373995036
acvrpl,heldout,8,dynamic,minimize,2.2400238513946533,2.2109672278165817,2.2201510667800903,-1.2971568833957172,-0.8871684380588208,baseline,,,,,,,-0.41537653059552637,10.620863372925669,14.690059843473136,10.75,86,1.2348330365493894,13.304872444830835
acvrpb,heldout,8,dynamic,minimize,2.3043713569641113,1.9318183660507202,1.9525064080953598,-16.1672288534349,-15.269455064409202,baseline,,,,,,,-1.070910309592554,12.689721600152552,15.298943617846817,10.5,84,1.219523451756686,13.983743875753134
aocvrp,heldout,8,dynamic,minimize,1.5795049667358398,1.590089499950409,1.595203012228012,0.6701171213435807,0.9938585710568151,baseline,,,,,,,-0.3215864438927889,8.906831596046686,12.167132479604334,12.25,98,1.4607896842062473,10.601103188935667
mdcvrp,heldout,8,dynamic,minimize,11.501220703125,11.783200860023499,11.729310750961304,2.4517411166788725,1.983181209402662,neural,,,,,,,0.4573469441993995,10.686320014763623,11.601324929390103,9.125,73,1.0860189986415207,10.406932110898197
pdcvrp,heldout,8,dynamic,minimize,23.309293746948242,19.413264751434326,19.519872426986694,-16.714487525062836,-16.257126282333957,baseline,,,,,,,-0.5491486203756202,4.326997838914394,5.973597364965826,12.0,96,1.3504737908951938,4.483070477843285
spctsp,heldout,8,dynamic,minimize,,6.205688059329987,5.982144117355347,,,neural,,,,,,,3.6022426496051656,9.337348348461092,8.656916264910251,7.5,60,0.8947678059339523,7.655007149558514
apctsp,heldout,8,dynamic,minimize,1.5748319625854492,1.5662304610013962,1.5491968989372253,-0.5461853574480222,-1.6277967590991753,neural,,,,,,,1.0875514484171211,9.256666185334325,11.813047368079424,9.375,75,1.1154376449994743,10.583510728087276
apdtsp,heldout,8,dynamic,minimize,2.087674140930176,2.3734908401966095,2.372640013694763,13.690675841732961,13.649921085750439,neural,,,,,,,0.035847052258934975,3.8249345179647207,4.319188904482871,3.375,27,0.40255481703206897,3.8186933239921927
cvrpltw,heldout,8,dynamic,minimize,23.643173217773438,23.71998167037964,23.536946773529053,0.3248652450275222,-0.44929013236061927,neural,,,,,,,0.7716485594048794,16.149916859343648,21.718627827707678,8.375,67,0.926035956479609,20.581750955432653
cvrpbtw,heldout,8,dynamic,minimize,23.91897201538086,25.272464752197266,25.09079885482788,5.658657637736505,4.89915218218195,neural,,,,,,,0.7188293629080645,14.282408583909273,16.745404395274818,10.125,81,1.1406137477606535,15.458855085540563
cvrpbpl,heldout,8,dynamic,minimize,15.133810043334961,14.888562321662903,14.880937933921814,-1.6205286109036832,-1.6709084406970844,neural,,,,,,,0.05120969759447734,10.41328753111884,13.136037203948945,9.625,77,1.0724086668342352,11.872144049964845
ocvrptw,seen,8,dynamic,minimize,14.203609466552734,14.637856841087341,14.497888565063477,3.0573029732842993,2.071861375826498,neural,,,,,,,0.9562074389946521,10.865806680638343,12.487370690796524,6.875,55,0.7767862514592707,11.550783817656338
ocvrpbl,heldout,8,dynamic,minimize,8.2201509475708,8.388421297073364,8.326038360595703,2.047046952979499,1.288144386888588,neural,,,,,,,0.7436791056193841,10.745939821004868,13.837860275991261,9.5,76,1.0949519681744277,12.609423286747187
ocvrpbp,seen,8,dynamic,minimize,10.672101974487305,10.65067982673645,10.61077868938446,-0.200730350984897,-0.5746129979777508,neural,,,,,,,0.37463465244561894,8.295051691588014,9.838247341103852,8.875,71,1.0303909303620458,8.668618137016892
acvrptw,heldout,8,dynamic,minimize,4.125319957733154,4.3335390985012054,4.28062117099762,5.047345245978609,3.7645858952914453,neural,,,,,,,1.2211249581638244,9.239658514037728,11.915737504605204,12.125,97,1.3506262847222388,10.419915227685124
acvrpbl,heldout,8,dynamic,minimize,2.215576171875,1.8741516917943954,1.885042279958725,-15.410189205621558,-14.918642658832646,baseline,,,,,,,-0.5810942738526357,13.416189398150891,17.5145196178928,11.0,88,1.2621332849375904,16.09262501867488
acvrpbp,heldout,8,dynamic,minimize,2.324636220932007,2.326084941625595,2.3112432956695557,0.06232031835963681,-0.576129939895783,neural,,,,,,,0.6380526218301932,9.516984417568892,14.150774137116969,12.625,101,1.438814037013799,12.562616934999824
aocvrpl,heldout,8,dynamic,minimize,1.6071850061416626,1.6209169626235962,1.6020149439573288,0.8544104399592198,-0.32168432162924837,neural,,,,,,,1.1661312147460547,9.51192567544058,13.751635455526412,11.0,88,1.2726542646996677,12.33144298242405
