name,direction,bootstrap,srr,reference,has_reference,bootstrap_gap_pct,srr_gap_pct,improvement_pct,changed_edges,srr_moves,srr_scope_nodes,srr_revisits,srr_evaluations,asymmetric,time_windows,multi_depot,strict_backhaul,open_route,pickup_delivery,optional,use_pheromone
op,maximize,20.849998474121094,28.8799991607666,,False,,,38.51319556024094,8,24,35,33,38,False,False,False,False,False,False,True,True
tsp,minimize,8.385296821594238,7.447408676147461,7.401462078094482,True,13.292437806464392,0.6207773216722005,11.184912894573756,8,28,97,53,54,False,False,False,False,False,False,False,True
aop,maximize,14.890000343322754,40.610008239746094,35.459999084472656,True,58.009022200333796,-14.52343284895498,172.73342715507175,8,66,67,109,112,True,False,False,False,False,False,True,True
cvrp,minimize,20.06951332092285,14.917600631713867,14.08707460345019,True,42.4675731894502,5.895660040447752,25.67034191027451,9,71,93,107,355,False,False,False,False,False,False,False,True
atsp,minimize,2.0735347270965576,1.8271846771240234,,False,,,11.880681174676196,9,32,63,95,52,True,False,False,False,False,False,False,True
cvrpl,minimize,40.352264404296875,16.048398971557617,15.626479440991986,True,158.2300418765039,2.7000293454380757,60.229248076971075,8,149,100,204,727,False,False,False,False,False,False,False,True
cvrpb,minimize,20.902843475341797,18.971834182739258,11.85424011142921,True,76.3322092251904,60.04260082810077,9.238022065660441,9,16,35,28,135,False,False,False,False,False,False,False,True
ocvrp,minimize,13.715575218200684,9.532196044921875,9.542573943339816,True,43.7303530435139,-0.10875365996177798,30.5009385805958,8,88,100,194,476,False,False,False,False,True,False,False,True
acvrp,minimize,3.193592071533203,2.387450933456421,2.0503149032592773,True,55.76105243426356,16.443134157646526,25.24245802281705,8,51,69,145,291,True,False,False,False,False,False,False,True
pctsp,minimize,27.41425323486328,6.473782062530518,,False,,,76.38534229961196,9,144,95,190,333,False,False,False,False,False,False,True,True
pdtsp,minimize,13.876790046691895,13.746488571166992,,False,,,0.9389885923651707,9,6,31,7,4704,False,False,False,False,False,True,False,True
cvrptw,minimize,32.86002731323242,23.891311645507812,22.168104392328274,True,48.231110480534845,7.773363128765711,27.293695109355532,10,95,96,143,474,False,True,False,False,False,False,False,True
cvrpbl,minimize,39.754371643066406,18.058704376220703,11.073374289478942,True,259.0086508756226,63.082217796780135,54.57429301521777,8,140,85,223,877,False,False,False,False,False,False,False,True
cvrpbp,minimize,20.373563766479492,15.552023887634277,15.517189979553223,True,31.29673473950788,0.22448592900489603,23.665667598017713,8,88,98,144,913,False,False,False,True,False,False,False,True
ocvrpl,minimize,15.406885147094727,11.361332893371582,10.812519663715992,True,42.49116418993652,5.075720060859305,26.258080170643794,9,70,96,115,365,False,False,False,False,True,False,False,True
ocvrpb,minimize,15.452154159545898,14.157439231872559,8.603693231115471,True,79.59908314330406,64.55072085406097,8.378863647781445,9,33,54,51,186,False,False,False,False,True,False,False,True
acvrpl,minimize,4.220799446105957,2.1865339279174805,1.9813300371170044,True,113.02859024171268,10.356875783252363,48.19621363590866,8,122,100,263,623,True,False,False,False,False,False,False,True
acvrpb,minimize,2.787674903869629,2.4323740005493164,2.279710054397583,True,22.28199364617341,6.696638717596704,12.745421025497341,8,15,42,36,114,True,False,False,False,False,False,False,True
aocvrp,minimize,2.7852208614349365,1.623547077178955,1.4667799472808838,True,89.88675612849617,10.687842453033678,41.70849789116871,8,96,98,195,483,True,False,False,False,True,False,False,True
mdcvrp,minimize,19.09787368774414,13.659951210021973,11.84113883972168,True,61.28409561147436,15.360113540760098,28.47396818427958,10,48,95,92,972,False,False,True,False,False,False,False,True
pdcvrp,minimize,39.68134689331055,23.230913162231445,23.626556396484375,True,67.95230852692151,-1.6745700372645136,41.4563391089235,9,94,100,230,40996,False,False,False,False,False,True,False,True
spctsp,minimize,26.34110450744629,6.500214576721191,,False,,,75.32292324764262,8,160,98,302,353,False,False,False,False,False,False,True,True
apctsp,minimize,4.306363105773926,1.782804250717163,1.6372369527816772,True,163.02625887214336,8.891034232287879,58.60069838684067,9,99,99,148,227,True,False,False,False,False,False,True,True
apdtsp,minimize,2.932021379470825,2.7993195056915283,2.094641923904419,True,39.977212620929905,33.641911476382,4.525951778811622,8,12,50,22,8900,True,False,False,False,False,True,False,True
cvrpltw,minimize,54.15854263305664,24.6225643157959,23.951826637596405,True,126.1144565402195,2.8003612766078505,54.536139418258514,8,205,100,267,940,False,True,False,False,False,False,False,True
cvrpbtw,minimize,30.456668853759766,26.397851943969727,20.63193178877529,True,47.61908465754806,27.946584034032913,13.326529336739965,9,70,71,131,357,False,True,False,False,False,False,False,True
cvrpbpl,minimize,49.067649841308594,15.531641006469727,15.336819648742676,True,219.9336692032575,1.2702852494129862,68.34647459843471,9,194,100,270,1461,False,False,False,True,False,False,False,True
ocvrptw,minimize,19.377361297607422,14.640610694885254,13.645712060799355,True,42.003298994367846,7.29092501478167,24.444765878969434,8,92,96,190,484,False,True,False,False,True,False,False,True
ocvrpbl,minimize,13.865439414978027,12.654973983764648,8.318098510488008,True,66.69001211629755,52.13782293884138,8.730090659123169,8,16,33,24,95,False,False,False,False,True,False,False,True
