name,direction,bootstrap,srr,reference,has_reference,bootstrap_gap_pct,srr_gap_pct,improvement_pct,changed_edges,srr_moves,srr_scope_nodes,srr_revisits,asymmetric,time_windows,multi_depot,strict_backhaul,open_route,pickup_delivery,optional
op,maximize,20.849998474121094,26.169998168945312,,False,,,25.515587933626826,0,2,44,2,False,False,False,False,False,False,True
tsp,minimize,8.385296821594238,7.921699523925781,7.401462078094482,True,13.292437806464392,7.028847008093226,5.528692752707071,8,8,9,0,False,False,False,False,False,False,False
aop,maximize,14.430000305175781,29.489999771118164,35.459999084472656,True,59.306258664021115,16.83586990268326,104.36589845767801,9,8,17,1,True,False,False,False,False,False,True
cvrp,minimize,20.06951332092285,17.54825782775879,14.08707460345019,True,42.4675731894502,24.569921873352538,12.562614014838145,8,8,15,5,False,False,False,False,False,False,False
atsp,minimize,2.1698107719421387,1.9576457738876343,,False,,,9.778041513942771,8,8,28,3,True,False,False,False,False,False,False
cvrpl,minimize,45.23016357421875,32.67820358276367,15.626479440991986,True,189.44564093924595,109.12070249835637,27.751303554006405,8,8,8,0,False,False,False,False,False,False,False
cvrpb,minimize,20.902843475341797,18.532283782958984,11.85424011142921,True,76.3322092251904,56.33464151861721,11.340847933819443,8,8,19,3,False,False,False,False,False,False,False
ocvrp,minimize,13.715575218200684,11.958958625793457,9.542573943339816,True,43.7303530435139,25.322147848171955,12.807458414694716,8,8,9,0,False,False,False,False,True,False,False
acvrp,minimize,3.193592071533203,2.903974771499634,2.0503149032592773,True,55.76105243426356,41.63554909947435,9.068700496069548,10,8,10,1,True,False,False,False,False,False,False
pctsp,minimize,27.41425323486328,17.141834259033203,,False,,,37.4710880789794,9,8,8,0,False,False,False,False,False,False,True
pdtsp,minimize,13.876790046691895,12.382209777832031,,False,,,10.770360175739333,8,8,10,1,False,False,False,False,False,True,False
cvrptw,minimize,32.86002731323242,28.071372985839844,22.168104392328274,True,48.231110480534845,26.629559699991834,14.572886022721693,9,8,9,0,False,True,False,False,False,False,False
cvrpbl,minimize,43.76880645751953,32.936790466308594,11.073374289478942,True,295.2616909111909,197.4413182944838,24.74825536246713,9,8,9,0,False,False,False,False,False,False,False
