variant,split,val_size,field_mode,direction,reference,baseline_objective,neural_objective,baseline_gap_pct,neural_gap_pct,winner,urs_objective,urs_gap_pct,neural_vs_urs,neural_beats_urs,urs_neural_ties,urs_beats_neural,neural_improvement_pct,baseline_seconds,neural_seconds,neural_net_evals_mean,neural_net_evals_total,neural_model_seconds,neural_decoder_seconds
cvrpl,seen,8,dynamic,minimize,15.267560005187988,15.650050282478333,15.713169693946838,2.505248233249925,2.9186699682688646,baseline,,,,,,,-0.40331762728694764,4.723865929059684,23.93155732471496,3.0,24,19.93023449461907,3.773812416475266
cvrpb,seen,8,dynamic,minimize,11.423855781555176,11.812934875488281,11.848487973213196,3.4058473896467425,3.7170654092432276,baseline,,,,,,,-0.3009675250025027,4.436850345693529,16.07573845796287,3.0,24,12.048560456838459,3.86008456395939
