name,direction,bootstrap,srr,reference,has_reference,bootstrap_gap_pct,srr_gap_pct,improvement_pct,changed_edges,srr_moves,srr_scope_nodes,srr_revisits,srr_evaluations,asymmetric,time_windows,multi_depot,strict_backhaul,open_route,pickup_delivery,optional,use_pheromone
mdocvrpbltw,minimize,16.494403839111328,11.83608341217041,10.192261695861816,True,61.83261705111299,16.12813490626919,28.241823544390044,9,3,18,3,97,False,True,True,False,True,False,False,False
mdocvrpbptw,minimize,16.667926788330078,11.62455940246582,10.998909950256348,True,51.541624249243036,5.688285975965199,30.25791659581402,9,9,32,28,314,False,True,True,True,True,False,False,False
amdcvrpbltw,minimize,7.279699802398682,5.022515296936035,4.65995979309082,True,56.21808182105068,7.78022815524642,31.00656025292276,9,7,18,14,156,True,True,True,False,False,False,False,False
amdcvrpbptw,minimize,4.81561279296875,3.3458337783813477,3.1462199687957764,True,53.060270442944834,6.344559870744638,30.521121148557018,8,4,16,4,92,True,True,True,True,False,False,False,False
amdocvrpltw,minimize,3.3503661155700684,1.8027271032333374,1.8495899438858032,True,81.14102137316365,-2.5336881186762774,46.19313110720732,9,10,19,25,209,True,True,True,False,True,False,False,False
amdocvrpbtw,minimize,3.538180112838745,2.264075994491577,2.1618199348449707,True,63.66673541163716,4.730091438163163,36.01015430853607,9,8,16,9,110,True,True,True,False,True,False,False,False
amdocvrpbpl,minimize,3.54793643951416,1.8590161800384521,1.6517200469970703,True,114.80252939743202,12.550318888376943,47.602889405397065,9,10,27,15,226,True,False,True,True,True,False,False,False
mdocvrpbpltw,minimize,17.14136505126953,11.867069244384766,11.175503730773926,True,53.38337728855519,6.188226770543501,30.76940366831601,8,9,19,17,180,False,True,True,True,True,False,False,False
amdcvrpbpltw,minimize,6.478507995605469,4.290359020233154,3.870919942855835,True,67.36352317392135,10.835643298473158,33.77550783076273,9,6,22,6,132,True,True,True,True,False,False,False,False
amdocvrpbltw,minimize,3.266512155532837,1.5581485033035278,1.474560022354126,True,121.52452975890873,5.668706575670847,52.29932021944792,9,5,14,5,91,True,True,True,False,True,False,False,False
amdocvrpbptw,minimize,3.6304080486297607,2.2398107051849365,2.2038800716400146,True,64.72802197118635,1.6303352440672572,38.30416098734914,9,7,22,11,169,True,True,True,True,True,False,False,False
amdocvrpbpltw,minimize,3.6634716987609863,1.9513708353042603,1.921470046043396,True,90.65983913226444,1.5561413159905673,46.734382144558985,9,9,18,17,168,True,True,True,True,True,False,False,False
