name,direction,bootstrap,srr,reference,has_reference,bootstrap_gap_pct,srr_gap_pct,improvement_pct,changed_edges,srr_moves,asymmetric,time_windows,multi_depot,strict_backhaul,open_route,pickup_delivery,optional
cvrpbltw,minimize,48.085533142089844,46.25880432128906,18.491065429363715,True,160.0473905940015,150.16840970034275,3.7989156019189974,8,0,False,True,False,False,False,False,False
cvrpbptw,minimize,47.43738555908203,47.43738555908203,28.957300186157227,True,63.818399001710254,63.818399001710254,0.0,0,0,False,True,False,True,False,False,False
ocvrpltw,minimize,20.48570442199707,20.48570442199707,14.80633789869914,True,38.35767197908479,38.35767197908479,0.0,0,0,False,True,False,False,True,False,False
ocvrpbtw,minimize,19.30362892150879,19.176246643066406,11.315462161252785,True,70.59514358688463,69.46940716863585,0.6598877286770103,10,0,False,True,False,False,True,False,False
ocvrpbpl,minimize,14.61569881439209,14.61569881439209,10.130979537963867,True,44.267380657740084,44.267380657740084,0.0,0,0,False,False,False,True,True,False,False
acvrpltw,minimize,6.2747087478637695,6.2747087478637695,3.934109926223755,True,59.49500307650762,59.49500307650762,0.0,0,0,True,True,False,False,False,False,False
acvrpbtw,minimize,5.564085960388184,5.498035907745361,3.8774900436401367,True,43.4971050284037,41.79368214660526,1.1870782211677806,8,0,True,True,False,False,False,False,False
acvrpbpl,minimize,4.608817100524902,4.608817100524902,2.39411997795105,True,92.50568655582784,92.50568655582784,0.0,0,0,True,False,False,True,False,False,False
aocvrptw,minimize,3.520071506500244,3.520071506500244,2.197279930114746,True,60.20132247402903,60.20132247402903,0.0,0,0,True,True,False,False,True,False,False
aocvrpbl,minimize,3.7070980072021484,3.6712427139282227,1.85030996799469,True,100.35010735092074,98.41230806895585,0.9672065104366308,9,0,True,False,False,False,True,False,False
aocvrpbp,minimize,3.5605762004852295,3.5605762004852295,1.684209942817688,True,111.40928514697967,111.40928514697967,0.0,0,0,True,False,False,True,True,False,False
mdcvrptw,minimize,26.87939453125,26.87939453125,16.06063461303711,True,67.36197030116628,67.36197030116628,0.0,0,0,False,True,True,False,False,False,False
mdcvrpbl,minimize,52.50718307495117,49.82939529418945,11.144113540649414,True,371.1651840536736,347.1364645777441,5.099850389877745,8,0,False,False,True,False,False,False,False
mdcvrpbp,minimize,18.81113052368164,18.81113052368164,11.54989242553711,True,62.86844786614416,62.86844786614416,0.0,0,0,False,False,True,True,False,False,False
mdocvrpl,minimize,12.464228630065918,12.464228630065918,7.678080081939697,True,62.335225695081654,62.335225695081654,0.0,0,0,False,False,True,False,True,False,False
mdocvrpb,minimize,12.465832710266113,12.465832710266113,7.40138578414917,True,68.4256580296487,68.4256580296487,0.0,0,0,False,False,True,False,True,False,False
amdcvrpl,minimize,4.4819207191467285,4.4819207191467285,2.0546700954437256,True,118.13335041403886,118.13335041403886,0.0,0,0,True,False,True,False,False,False,False
amdcvrpb,minimize,2.649064540863037,2.649064540863037,2.0909199714660645,True,26.69373180292622,26.69373180292622,0.0,0,0,True,False,True,False,False,False,False
amdocvrp,minimize,3.5000815391540527,3.5000815391540527,1.6141999959945679,True,116.83072406387438,116.83072406387438,0.0,0,0,True,False,True,False,True,False,False
aopdcvrp,minimize,4.777169227600098,4.69890022277832,2.8953630924224854,True,64.99378748394376,62.29053396017616,1.6383971572448832,9,0,True,False,False,False,True,True,False
cvrpbpltw,minimize,52.44989776611328,51.54356002807617,24.263469696044922,True,116.16816730322334,112.4327669281284,1.728006681878938,9,0,False,True,False,True,False,False,False
ocvrpbltw,minimize,19.465042114257812,19.465042114257812,12.158860347542328,True,60.089363294581176,60.089363294581176,0.0,0,0,False,True,False,False,True,False,False
ocvrpbptw,minimize,23.452228546142578,23.452228546142578,15.587929725646973,True,50.45120781854949,50.45120781854949,0.0,0,0,False,True,False,True,True,False,False
acvrpbltw,minimize,6.713021278381348,6.618101119995117,4.355629920959473,True,54.12285708843191,51.94360494560245,1.4139707659189447,8,0,True,True,False,False,False,False,False
acvrpbptw,minimize,5.624093055725098,5.624093055725098,4.041339874267578,True,39.16407010297212,39.16407010297212,0.0,0,0,True,True,False,True,False,False,False
aocvrpltw,minimize,4.047970294952393,4.047970294952393,2.6610701084136963,True,52.11813781807682,52.11813781807682,0.0,0,0,True,True,False,False,True,False,False
aocvrpbtw,minimize,4.809196472167969,4.809196472167969,3.206279993057251,True,49.993028761730365,49.993028761730365,0.0,0,0,True,True,False,False,True,False,False
aocvrpbpl,minimize,3.571753740310669,3.546553134918213,2.011620044708252,True,77.55608220878936,76.30333045486104,0.7055527123284855,9,0,True,False,False,True,True,False,False
mdcvrpltw,minimize,39.349571228027344,39.349571228027344,15.039703369140625,True,161.63794765239305,161.63794765239305,0.0,0,0,False,True,True,False,False,False,False
mdcvrpbtw,minimize,31.160255432128906,31.160255432128906,16.96717071533203,True,83.65027354838594,83.65027354838594,0.0,0,0,False,True,True,False,False,False,False
mdcvrpbpl,minimize,46.03827667236328,44.75381851196289,11.554325103759766,True,298.4505910897597,287.3339040581439,2.789978802945613,9,0,False,False,True,True,False,False,False
mdocvrptw,minimize,15.792774200439453,15.792774200439453,10.90636920928955,True,44.80322367032912,44.80322367032912,0.0,0,0,False,True,True,False,True,False,False
mdocvrpbl,minimize,12.014026641845703,12.014026641845703,7.207280158996582,True,66.69293237961669,66.69293237961669,0.0,0,0,False,False,True,False,True,False,False
mdocvrpbp,minimize,15.474156379699707,15.474156379699707,9.020671844482422,True,71.54106308794083,71.54106308794083,0.0,0,0,False,False,True,True,True,False,False
amdcvrptw,minimize,4.503026962280273,4.503026962280273,3.354909896850586,True,34.22199405437028,34.22199405437028,0.0,0,0,True,True,True,False,False,False,False
amdcvrpbl,minimize,3.9489221572875977,3.9157841205596924,2.029139995574951,True,94.6106313955278,92.97752393127345,0.8391666233974804,10,0,True,False,True,False,False,False,False
amdcvrpbp,minimize,3.896819829940796,3.896819829940796,2.13319993019104,True,82.67485268442765,82.67485268442765,0.0,0,0,True,False,True,True,False,False,False
amdocvrpl,minimize,3.121278762817383,3.121278762817383,1.473230004310608,True,111.86635852410383,111.86635852410383,0.0,0,0,True,False,True,False,True,False,False
amdocvrpb,minimize,3.2034504413604736,3.2034504413604736,1.539430022239685,True,108.09328095991265,108.09328095991265,0.0,0,0,True,False,True,False,True,False,False
ocvrpbpltw,minimize,20.199501037597656,20.199501037597656,15.567480087280273,True,29.754468445423417,29.754468445423417,0.0,0,0,False,True,False,True,True,False,False
acvrpbpltw,minimize,6.957699298858643,6.957699298858643,4.274040222167969,True,62.78974780750687,62.78974780750687,0.0,0,0,True,True,False,True,False,False,False
aocvrpbltw,minimize,4.277169227600098,4.107692718505859,2.726140022277832,True,56.89470066274512,50.677980035437365,3.962352202494706,8,0,True,True,False,False,True,False,False
aocvrpbptw,minimize,4.133709907531738,4.133709907531738,2.9010000228881836,True,42.492584450802276,42.492584450802276,0.0,0,0,True,True,False,True,True,False,False
mdcvrpbltw,minimize,52.020694732666016,52.020694732666016,16.33831787109375,True,218.39688236634575,218.39688236634575,0.0,0,0,False,True,True,False,False,False,False
mdcvrpbptw,minimize,27.209190368652344,27.209190368652344,16.943025588989258,True,60.59227571688698,60.59227571688698,0.0,0,0,False,True,True,True,False,False,False
mdocvrpltw,minimize,14.791386604309082,14.791386604309082,9.88421630859375,True,49.64652879408187,49.64652879408187,0.0,0,0,False,True,True,False,True,False,False
mdocvrpbtw,minimize,17.388416290283203,17.388416290283203,10.510350227355957,True,65.44088364463123,65.44088364463123,0.0,0,0,False,True,True,False,True,False,False
mdocvrpbpl,minimize,12.517395973205566,12.517395973205566,8.08454704284668,True,54.831135335913885,54.831135335913885,0.0,0,0,False,False,True,True,True,False,False
amdcvrpltw,minimize,5.999233722686768,5.999233722686768,3.8935599327087402,True,54.08093945822776,54.08093945822776,0.0,0,0,True,True,True,False,False,False,False
amdcvrpbtw,minimize,5.320703983306885,5.320703983306885,3.578700065612793,True,48.6770024242253,48.6770024242253,0.0,0,0,True,True,True,False,False,False,False
amdcvrpbpl,minimize,4.766524791717529,4.766524791717529,2.392819881439209,True,99.20115294472596,99.20115294472596,0.0,0,0,True,False,True,True,False,False,False
amdocvrptw,minimize,3.4183175563812256,3.4174015522003174,1.9101699590682983,True,78.95358159901849,78.9056275320749,0.026796930530875653,10,0,True,True,True,False,True,False,False
amdocvrpbl,minimize,3.244565486907959,3.175905704498291,1.5236300230026245,True,112.94969499970074,108.4433659451997,2.1161472217686725,8,0,True,False,True,False,True,False,False
